run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Governance Capture Risk,Single Entity Control,Collusion Threshold,Delegate Concentration,Voter Concentration Gini,Voting Power Utilization,Proposal Pass Rate,Quorum Reach Rate,Avg Time to Decision
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_6-run-039,vote_power_cap_fraction=0_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.6,942,10880,0.26266183217921363,0.5113636363636364,0.24067401302424293,0.023559311038178522,0.16842105263157894,0.2438139457296545,0.21540455616653575,0.3280446295850397,0.8255813953488372,1,1030.4651162790697
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0-run-039,vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0,1042,10697,0.4177667516665731,0.5,0.40741566377186217,0.02651838251640507,0.10526315789473684,0.38524540129743623,0.2266987674059752,0.34191564667658464,0.8375,1,1016.8
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_3-run-039,vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.3,1142,10462,0.4092313303580022,0.4878048780487805,0.4005310102443607,0.025878040576872013,0.12105263157894737,0.3759739640324195,0.21697345588296343,0.39617911138787665,0.8024691358024691,1,1097.6666666666667
Governance Capture Mitigations-vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0_6-run-039,vote_power_cap_fraction=0_vote_power_quadratic_threshold=500_vote_power_velocity_penalty=0.6,1242,10452,0.40381607207409465,0.5730337078651685,0.3916261231778656,0.02712373978702837,0.10526315789473684,0.3696742376288465,0.21102933924114017,0.37949495682634526,0.8068181818181818,1,988.125
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0-run-039,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0,1342,9673,0.4095165474135172,0.35,0.41539121204407015,0.024311878032907314,0.28421052631578947,0.39228772673024204,0.22001423677537038,0.4698937518559978,0.775,1,1025.35
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_3-run-039,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.3,1442,10069,0.3815973069715745,0.3225806451612903,0.4015091673689987,0.025190542559202427,0.3,0.36740992571593356,0.21377086714583815,0.48565760699826305,0.7912087912087912,1,968.7252747252747
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0_6-run-039,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=0_vote_power_velocity_penalty=0.6,1542,7996,0.5537766268465301,0.5308641975308642,0.5467067548607611,0.027319800840269498,0.1,0.5136729261368929,0.21611032471153432,0.4818952381067303,0.7530864197530864,1,1048.3086419753085
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0-run-039,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0,1642,8437,0.265573253432188,0.43023255813953487,0.26870613788459413,0.024678862488171006,0.2,0.25626321818163605,0.21541210892043755,0.3309314957410321,0.8414634146341463,1,914.9634146341464
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_3-run-039,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.3,1742,5960,0.2687490650021581,0.4186046511627907,0.24864511042256277,0.023496255027387482,0.1736842105263158,0.24445632329016387,0.2192263993316625,0.317860627811194,0.8953488372093024,1,1045.6627906976744
Governance Capture Mitigations-vote_power_cap_fraction=0_1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0_6-run-039,vote_power_cap_fraction=0.1_vote_power_quadratic_threshold=250_vote_power_velocity_penalty=0.6,1842,6480,0.2572356799426288,0.4574468085106383,0.2482035547506252,0.021929741960957264,0.23684210526315788,0.24837077740604652,0.20938417664332504,0.3731528946557228,0.8494623655913979,1,901.3440860215054
