run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Voter Concentration Gini,Delegate Concentration,Governance Capture Risk,Voter Participation Rate,Average Turnout,Voter Retention Rate,Proposal Pass Rate,Avg Margin of Victory,Quorum Reach Rate,Final Treasury,Treasury Growth Rate
Conviction Voting Dynamics-72-run-086,72,227,8618,0.4544092394930394,0.11320754716981132,0.03215434083601286,63.022222222222226,0.1509433962264151,0.30579482223014814,0.4841024182467582,0.501454706814832,0.3938825735380289,0.3396219726239148,1,0.5333333333333333,0.3589487396534141,1,7336.166106607424,-0.8533390674285675
Conviction Voting Dynamics-72-run-088,72,229,8764,0.4275208445048273,0.08771929824561403,0.03215434083601286,64.15384615384616,0.08771929824561403,0.3333097855521683,0.46521334985624263,0.4868132957096552,0.37365152010460934,0.3104220422421559,0.9873417721518988,0.6730769230769231,0.3726448381459884,1,4679.676919657621,-0.8960513992979027
Conviction Voting Dynamics-72-run-085,72,226,10542,0.42291900476213307,0.15942028985507245,0.03215434083601286,58.90163934426229,0.11594202898550725,0.3087852265700975,0.46176443638904563,0.4773527266321793,0.37888198757763963,0.3128468108585997,1,0.7540983606557377,0.38195852026810756,1,5033.318630064128,-0.8993764326642619
Conviction Voting Dynamics-72-run-089,72,230,10407,0.4514361075500093,0.13333333333333333,0.03215434083601286,60.36842105263158,0.05,0.30543736309107383,0.5029636650885684,0.5230541156993741,0.3924430641821946,0.34415514847059175,1,0.7719298245614035,0.35293742527472044,1,9501.128118148023,-0.7889535987358084
Conviction Voting Dynamics-72-run-090,72,231,9692,0.4131787289188937,0.10526315789473684,0.03215434083601286,63.673469387755105,0.14035087719298245,0.32060015066984865,0.4764701524562275,0.5196221959535604,0.3854200719189278,0.3232151446912876,1,0.6326530612244898,0.3803514560183721,1,12067.205381390364,-0.7319539072214155
Conviction Voting Dynamics-72-run-092,72,233,11209,0.4370635774998498,0.1323529411764706,0.03215951117543013,58,0.17647058823529413,0.3103606037948164,0.4764247191580827,0.509504199174852,0.38317500913408825,0.3246040933981739,1,0.6607142857142857,0.4050979413874919,1,7007.97922404042,-0.8599000140532134
Conviction Voting Dynamics-72-run-091,72,232,12926,0.447945471812973,0.08974358974358974,0.03215951117543013,61.857142857142854,0.10256410256410256,0.3141045056952208,0.4670592294134948,0.489409403809302,0.3772097467749641,0.3160282486057925,1,0.5285714285714286,0.3796043732476604,1,63221.999999998385,0.26390233594625623
Conviction Voting Dynamics-72-run-098,72,239,6733,0.4590879319798604,0.17777777777777778,0.0321646831778707,54.078947368421055,0.15555555555555556,0.335570718854805,0.47077720597064254,0.5024744016341144,0.36963423050379574,0.31276529537435,0.9936708860759493,0.6052631578947368,0.4158279203019745,1,9593.966517108998,-0.808202260416239
Conviction Voting Dynamics-72-run-094,72,235,8729,0.4565443109297483,0.05660377358490566,0.03215434083601286,62.58695652173913,0.1320754716981132,0.3191777397457839,0.46992179511813836,0.5153346142583145,0.37853041134419313,0.3098484977477575,1,0.6304347826086957,0.33926617891804495,1,16307.774584354074,-0.673983195861399
Conviction Voting Dynamics-72-run-093,72,234,11174,0.4502401033877702,0.16666666666666666,0.03216364864430221,61.293103448275865,0.12121212121212122,0.3126625922652759,0.48021226885388346,0.5075227032293873,0.37568228872576703,0.31865282290794,1,0.6724137931034483,0.3247144426442686,1,5803.564748890414,-0.8839780607551465
Conviction Voting Dynamics-72-run-095,72,236,10652,0.46553688882247957,0.06349206349206349,0.03215434083601286,63.732142857142854,0.1111111111111111,0.3181714794697036,0.48418457927583225,0.516018358642017,0.38499457754116156,0.32888396679382526,1,0.7321428571428571,0.42099691081126966,1,8348.017808850265,-0.8331106385573523
Conviction Voting Dynamics-168-run-002,168,243,7479,0.4473621463396019,0.06779661016949153,0.03215434083601286,134.95348837209303,0.2711864406779661,0.35147257955314826,0.4830189075954908,0.5254110907390008,0.3554058321928624,0.3091534025885588,1,0.6511627906976745,0.3735380442415795,1,43343.05295699882,-0.037230607499595794
Conviction Voting Dynamics-72-run-096,72,237,11584,0.44426610332301847,0.19402985074626866,0.03215951117543013,53.885245901639344,0.08955223880597014,0.32133415239005303,0.48154797179593184,0.5196562581621978,0.37962362102530844,0.32694065008977463,1,0.7213114754098361,0.3892879381818908,1,8620.01772307435,-0.8085255038490103
Conviction Voting Dynamics-72-run-097,72,238,13061,0.43346101256320463,0.13333333333333333,0.03215434083601286,61.60294117647059,0.09333333333333334,0.31704711793329904,0.4744363930509497,0.5148137964046946,0.37706004140786753,0.31356662160325316,1,0.6911764705882353,0.37762425864079574,1,11907.373210985948,-0.7619538006334915
