run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Proposal Rejection Rate,Governance Capture Risk,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Whale Influence,Delegate Concentration,Collusion Threshold,Avg Margin of Victory,Voter Participation Rate,Average Turnout,Quorum Reach Rate,Total Proposals,Governance Overhead,Final Treasury
Bicameral Attack Resistance-0_5-run-028,0.5,69,918,0.7246376811594203,0.2753623188405797,0.5282923641922916,0.025,18.057971014492754,0.014285714285714285,0.45684273058440095,0.5061354076996535,0.1,0.336474153465886,0.3573469387755102,0.3217659550777449,1,70,76.1304347826087,37278.11072596113
Bicameral Attack Resistance-0_5-run-022,0.5,63,906,0.6744186046511628,0.32558139534883723,0.5156942284118476,0.025009378516943855,18.88372093023256,0.06521739130434782,0.4188931166154093,0.5045655492814254,0.09523809523809523,0.38003744041546894,0.35186335403726704,0.30440089546595156,0.9891304347826086,92,79.04651162790698,11617.879654729068
Bicameral Attack Resistance-0_5-run-025,0.5,66,966,0.7714285714285715,0.22857142857142856,0.50324087420861,0.025,17.952380952380953,0.07894736842105263,0.4580922814964737,0.4906385538507963,0.1,0.3208392592791632,0.3532581453634082,0.3084058280501525,1,114,80.54285714285714,10324.141836095841
Bicameral Attack Resistance-0_5-run-027,0.5,68,1040,0.8160919540229885,0.1839080459770115,0.5162670036934305,0.025,17.35632183908046,0.11224489795918367,0.4391991945630525,0.498422167031814,0.1,0.3124814286630552,0.3565111758989309,0.317327911493204,1,98,84.33333333333333,5527.536960452952
Bicameral Attack Resistance-0_5-run-024,0.5,65,1026,0.6923076923076923,0.3076923076923077,0.49974343023401474,0.025,19.326923076923077,0.018867924528301886,0.4403899601706626,0.49496724354006133,0.1,0.31117778555725706,0.36046720575022434,0.3173451854605404,1,106,77.15384615384616,20509.97003503946
Bicameral Attack Resistance-0_5-run-030,0.5,71,928,0.7051282051282052,0.2948717948717949,0.5111622782194976,0.025,18.76923076923077,0.012658227848101266,0.45288127982133175,0.4984070289880755,0.1,0.34449507662408485,0.35744424352019294,0.31683219381089694,1,79,76.02564102564102,4656.482198476377
Bicameral Attack Resistance-0_5-run-029,0.5,70,961,0.7840909090909091,0.2159090909090909,0.4930247261290051,0.025,19.704545454545453,0.07368421052631578,0.4425773135360945,0.48940465451951654,0.1,0.3402812687897555,0.36355889724310764,0.3204753036465111,1,95,82.42045454545455,9634.259725692611
Bicameral Attack Resistance-0_5-run-023,0.5,64,1068,0.8020833333333334,0.19791666666666666,0.5208320303843427,0.02500562626590983,17.375,0.030303030303030304,0.4375679707595709,0.49935318964336894,0.09523809523809523,0.351400489555425,0.3538239538239537,0.30753765060368,1,99,76.625,10244.717413011622
Bicameral Attack Resistance-0_5-run-037,0.5,78,900,0.7752808988764045,0.2247191011235955,0.49652831901134187,0.025,18.96629213483146,0.05319148936170213,0.43485907070168456,0.48328904458588395,0.1,0.34076552486790723,0.35283687943262404,0.3026689667050511,1,94,78.25842696629213,15949.953158429664
Bicameral Attack Resistance-0_5-run-031,0.5,72,1037,0.723404255319149,0.2765957446808511,0.5073532809442999,0.025,16.872340425531913,0.050505050505050504,0.4660437538379063,0.4998296173485747,0.1,0.36265270781590764,0.3530062530062531,0.31576416712860667,1,99,78.07446808510639,13140.217713136988
