run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Average Turnout,Voter Participation Rate,Delegate Concentration,Whale Influence,Voter Concentration Gini,Unique Voter Count,Voter Retention Rate,Quorum Reach Rate,Final Member Count,Total Proposals,Avg Votes Per Proposal,Participation Trend,Token Concentration Gini,Final Gini,Final Treasury,Governance Capture Risk,Single Entity Control
Scale Sweep-100-run-012,100,849,6419,1,0.22593229219056363,0.24128440659863207,0.2823860804506019,0.2831676611870548,0.4156956486508387,239,0.9318181818181818,1,301,45,50.955555555555556,0.0029987663909846213,0.45816941578163645,0.45802982874099607,12042.796475408308,0.2921080897440623,0.021619456448816583
Scale Sweep-200-run-012,200,879,11827,0.9811320754716981,0.2122374356022085,0.24221010542361068,0.2883888975031357,0.28100629689799034,0.3834498756510199,336,0.8985507246376812,0.9818181818181818,405,55,74.69090909090909,0.001110193306932222,0.4888582771319769,0.4887331769528509,12064.753346469026,0.28435070509080673,0.018410467600065854
Scale Sweep-350-run-012,350,909,23177,0.9803921568627451,0.23098662895769126,0.19121581504655838,0.23081952047419282,0.24711164147457473,0.42343174249258697,436,0.9090909090909091,1,565,53,89.20754716981132,0.0019220514906321076,0.4075239422827541,0.4075113100844123,11249.447357986164,0.22867409541311431,0.0134039750343749
Scale Sweep-500-run-012,500,939,53258,1,0.2189687314463594,0.23345983226703607,0.26156809317968477,0.2782595031880168,0.36580565993051656,609,0.9020715630885122,1,721,81,145.88888888888889,0.0006527797113192416,0.4968521051934887,0.496662709990755,12074.144017378072,0.25558278441175925,0.01071586292566339
Scale Sweep-50-run-013,50,820,4799,0.8571428571428571,0.22381253047184613,0.26564715924092125,0.3185499752375513,0.2820264193956666,0.46236581196581195,194,0.8918918918918919,1,250,37,41.2972972972973,0.0035601792576320686,0.4563839350844912,0.4559026673786415,12037.68568980123,0.33376988459252827,0.03365585928748501
Scale Sweep-100-run-013,100,850,5961,1,0.2122722632430664,0.24775950931846363,0.25585631713309803,0.2446010245855036,0.44460027137748476,238,0.8870056497175142,1,301,37,50.37837837837838,0.0035615485952161722,0.5266978328377598,0.5266962117619363,12039.233099186778,0.26087419700739406,0.025309531062229187
Scale Sweep-200-run-013,200,880,8327,1,0.2406724738343981,0.23923681686850126,0.2706949823300783,0.2772785279771471,0.44240071610255866,312,0.9065040650406504,1,405,37,69.89189189189189,0.0023555807968270353,0.4326575146327763,0.43265106657442765,12049.40428462096,0.2728998981964236,0.022412729106564236
Scale Sweep-350-run-013,350,910,24477,1,0.24292693617520997,0.21810016924879608,0.2623375670927422,0.26799283947901004,0.3850783560624989,464,0.9041769041769042,1,565,71,103.2394366197183,0.0011363643116983266,0.4086912529508731,0.40860945882612665,12063.26963055776,0.2714490053888346,0.015011170491169866
Scale Sweep-500-run-013,500,940,47234,1,0.22930507057490773,0.21123538814210532,0.2542367908417392,0.26965628821177645,0.37755299197349784,581,0.9232245681381958,1,721,76,131.1578947368421,0.0008957376659606552,0.4386580247380603,0.4387321184656945,11219.266269171603,0.25088728345488265,0.01028935084730742
Scale Sweep-50-run-014,50,821,6991,0.8545454545454545,0.226849420242281,0.27089202840722,0.26640582190319895,0.2523546879282804,0.39360426287744227,206,0.9241379310344827,1,250,57,42.824561403508774,0.0025637377400095644,0.46287167114915256,0.46269583532149294,10707.130725506066,0.277543450229089,0.02834819083540146
Scale Sweep-100-run-014,100,851,6151,0.9318181818181818,0.20444580052338984,0.2549707500543567,0.28461562487280895,0.2665631486599367,0.4177209482673111,237,0.9709302325581395,1,301,44,54.61363636363637,0.002585325432527555,0.4965738321162226,0.49656602658590354,11043.077644074154,0.2719194235654703,0.021916096681416055
Scale Sweep-200-run-014,200,881,11290,1,0.2163669574111579,0.23898115802591474,0.26991638980863597,0.2675973679378848,0.3618537700050873,358,0.8833333333333333,1,405,55,76.9090909090909,0.0014720149447712562,0.4622659594081047,0.46200157462184865,10821.873490726879,0.26398524469121704,0.018137231188292992
Scale Sweep-350-run-014,350,911,23790,1,0.22026085491768324,0.22908399537031968,0.2562666373459478,0.2781984240403587,0.37465100722659034,469,0.9147869674185464,1,565,57,108.66666666666667,0.0009611824043487496,0.4729888189240348,0.4727037334757134,12053.946597337952,0.26090355604025756,0.012002733105438698
Scale Sweep-500-run-014,500,941,49886,1,0.235509985490472,0.21346018973279873,0.25050537422392244,0.2665361201104542,0.36572904604970163,597,0.9073724007561437,1,721,78,134.1153846153846,0.0009102421131784732,0.4189421557218573,0.4188203182397734,11964.187014873032,0.24935945397010295,0.011507212041509077
Scale Sweep-50-run-015,50,822,5045,0.9428571428571428,0.23525899886869833,0.2664659882991233,0.28676978801457537,0.2785086530201413,0.42077578752316247,201,0.9612403100775194,0.9722222222222222,250,36,40.611111111111114,0.00535962350976246,0.42131862461088077,0.42186246736237254,11344.052204281263,0.2742853693905797,0.027078536621559592
Scale Sweep-100-run-015,100,852,6343,0.9117647058823529,0.2207819505528848,0.26234378419207927,0.2867285644822312,0.27970117097066693,0.410835675951955,242,0.9308510638297872,1,301,34,56.970588235294116,0.004572195675534837,0.47860362068854695,0.47845121851747763,11091.137131374788,0.2891892388520047,0.02467495250026396
Scale Sweep-200-run-015,200,882,11727,0.9782608695652174,0.22292518560544297,0.24972237926720178,0.27078143301655416,0.26095753030641955,0.37479235702995795,338,0.8908450704225352,1,405,47,78.72340425531915,0.00197474575140426,0.48314533954355593,0.48259141580937404,11769.577351873711,0.2638147615788726,0.016444142966463255
Scale Sweep-350-run-015,350,912,24517,1,0.23585319893015746,0.19566028901107335,0.22031975274037455,0.23131285237135818,0.40586767639370935,451,0.9021164021164021,1,565,75,90.6,0.0014683811711543816,0.4253655502635569,0.42511476169101603,12065.342413917675,0.218973161319471,0.015212163264586938
Scale Sweep-500-run-015,500,942,53113,1,0.23638631960525278,0.2116878391335709,0.24718626198470672,0.25223401709725,0.3687097597305161,615,0.8781362007168458,1,721,76,130.89473684210526,0.0006251716410653646,0.3694359779247255,0.36940479480187105,10946.259618042062,0.2503526284564428,0.01107593756259723
Scale Sweep-50-run-016,50,823,4340,1,0.210557365915855,0.24693937862250773,0.2854273146918601,0.2637876721461263,0.40040233918128654,201,0.9285714285714286,1,250,37,43.86486486486486,0.005359818031307659,0.47117439413962875,0.4709938695060054,12036.493115995632,0.26709767768590975,0.02958649243561601
