# Pairwise T-Test Comparisons
sweep_value_1,sweep_value_2,metric,t_statistic,df,p_value,significant,cohens_d,effect_interpretation
0.03,0.1,Final Treasury,-0.277739,55.828060,0.782239,false,-0.071712,negligible
0.03,0.1,Final Token Price,-0.273119,51.538393,0.785853,false,-0.070519,negligible
0.03,0.1,Final Member Count,0,58,1,false,0,negligible
0.03,0.1,Total Proposals,-1.667376,52.442978,0.101401,false,-0.430515,small
0.03,0.1,Quorum Reach Rate,2.312343,57.965248,0.024331,false,0.597044,medium
0.03,0.1,Avg Margin of Victory,-1.137804,57.924396,0.259887,false,-0.293780,small
0.03,0.1,Avg Time to Decision,0.207814,56.537839,0.836121,false,0.053657,negligible
0.03,0.1,Proposal Abandonment Rate,-0.803224,56.996150,0.425182,false,-0.207392,small
0.03,0.1,Proposal Rejection Rate,-1.083041,56.112385,0.283423,false,-0.279640,small
0.03,0.1,Governance Overhead,1.619565,57.864597,0.110764,false,0.418170,small
0.03,0.1,Unique Voter Count,0,58,1,false,0,negligible
0.03,0.1,Voter Participation Rate,1.679839,57.838866,0.098383,false,0.433733,small
0.03,0.1,Voter Concentration Gini,-0.359570,52.201692,0.720619,false,-0.092841,negligible
0.03,0.1,Delegate Concentration,-1.358911,54.785462,0.179743,false,-0.350869,small
0.03,0.1,Avg Votes Per Proposal,1.679839,57.838866,0.098383,false,0.433733,small
0.03,0.1,Voter Retention Rate,1.000000,29,0.325582,false,0.258199,small
0.03,0.1,Voting Power Utilization,1.718095,57.988925,0.091115,false,0.443610,small
0.03,0.1,Treasury Volatility,-0.559237,57.943159,0.578155,false,-0.144394,negligible
0.03,0.1,Treasury Growth Rate,-0.949689,57.557581,0.346241,false,-0.245209,small
0.03,0.1,Staking Participation,-0.386466,54.834215,0.700647,false,-0.099785,negligible
0.03,0.1,Token Concentration Gini,-1.345383,57.446489,0.183788,false,-0.347376,small
0.03,0.1,Avg Member Wealth,0.321646,55.617220,0.748926,false,0.083049,negligible
0.03,0.1,Wealth Mobility,1.345383,57.446489,0.183788,false,0.347376,small
0.03,0.1,Whale Influence,-1.205767,57.944424,0.232808,false,-0.311328,small
0.03,0.1,Whale Proposal Rate,0.237490,55.563740,0.813150,false,0.061320,negligible
0.03,0.1,Governance Capture Risk,-0.629815,57.941414,0.531291,false,-0.162618,negligible
0.03,0.1,Vote Buying Vulnerability,0.947164,56.956942,0.347556,false,0.244557,small
0.03,0.1,Single Entity Control,-0.299854,54.762085,0.765423,false,-0.077422,negligible
0.03,0.1,Collusion Threshold,0.350215,57.767508,0.727451,false,0.090425,negligible
0.03,0.1,Participation Trend,-0.289968,57.596887,0.772882,false,-0.074870,negligible
0.03,0.1,Treasury Trend,-0.380942,57.683597,0.704646,false,-0.098359,negligible
0.03,0.1,Member Growth Rate,0,58,1,false,0,negligible
0.03,0.1,Proposal Rate,-1.667376,52.442978,0.101401,false,-0.430515,small
0.03,0.1,Governance Activity Index,0.814612,56.995956,0.418685,false,0.210332,small
0.03,0.1,Final Gini,-1.345383,57.446489,0.183788,false,-0.347376,small
