run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Quorum Reach Rate,Avg Time to Decision,Proposal Abandonment Rate,Proposal Rejection Rate,Governance Overhead,Average Turnout,Avg Margin of Victory,Proposal Rate,Total Proposals
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=0-run-008,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=0,1112,17756,1,1,1008.9411764705883,0,0,81,0.23821003756815923,0.6913794189729826,1.8499999999999999,37
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=6-run-008,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=6,1212,16161,1,1,899,0,0,72.26666666666667,0.22435929672470697,0.559866481065011,1.5,30
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=12-run-008,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=12,1312,19012,1,1,883.58,0,0,69.68,0.2321080361045112,0.6959620287256396,2.5,50
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=0-run-009,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=0,513,19630,0.95,1,1015.575,0,0.05,80.125,0.25963999216145256,0.4193447367884769,2.0500000000000003,41
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=6-run-009,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=6,613,17618,1,1,819.3409090909091,0,0,76.79545454545455,0.23102470790628157,0.5001534810657178,2.25,45
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=12-run-009,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=12,713,18740,0.9761904761904762,1,890.1190476190476,0,0.023809523809523808,80.5952380952381,0.2137426503895855,0.5319863999779011,2.25,45
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=0-run-009,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=0,813,17947,1,1,884.78125,0,0,83.4375,0.2323915901640906,0.6338955733976798,1.7000000000000002,34
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=6-run-009,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=6,913,17605,0.9545454545454546,1,988.9545454545455,0,0.045454545454545456,79.11363636363636,0.2173960493986409,0.49567826506082907,2.4,48
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=12-run-009,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=12,1013,17252,0.9743589743589743,1,988.1794871794872,0,0.02564102564102564,67.15384615384616,0.24227918316628871,0.43850404724961434,2,40
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=0-run-009,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=0,1113,19113,1,1,923.2424242424242,0,0,79.18181818181819,0.22200332727623673,0.5463408398816088,3.35,67
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=6-run-009,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=6,1213,21235,0.9811320754716981,1,900.2264150943396,0,0.018867924528301886,76.30188679245283,0.220311578040589,0.5663972977318454,2.65,53
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=12-run-009,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=12,1313,20184,0.9772727272727273,1,955.3863636363636,0,0.022727272727272728,68.5,0.23546392081026607,0.6563101895687076,2.25,45
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=0-run-010,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=0,514,20826,0.9722222222222222,1,1013.3611111111111,0,0.027777777777777776,86.33333333333333,0.23539986027360008,0.486506505411261,1.95,39
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=6-run-010,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=6,614,18443,0.972972972972973,1,941.1081081081081,0,0.02702702702702703,78.75675675675676,0.21605336668734806,0.5258783814110325,1.95,39
Proposal Pipeline Effects-proposal_temp_check_fraction=0_05_proposal_fast_track_min_steps=12-run-010,proposal_temp_check_fraction=0.05_proposal_fast_track_min_steps=12,714,18511,0.9714285714285714,1,764.1142857142858,0,0.02857142857142857,84.2,0.2138342938204584,0.40729249215463287,1.9,38
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=0-run-010,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=0,814,20108,1,1,909.0681818181819,0,0,83.5909090909091,0.2873433211066591,0.6075414115995186,2.3,46
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=6-run-010,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=6,914,17630,0.95,1,888.725,0,0.05,69.875,0.23237225917600574,0.558261233709967,2.1,42
Proposal Pipeline Effects-proposal_temp_check_fraction=0_25_proposal_fast_track_min_steps=12-run-010,proposal_temp_check_fraction=0.25_proposal_fast_track_min_steps=12,1014,15218,1,1,911.2647058823529,0,0,71.88235294117646,0.23221839215416828,0.6677906931684334,1.7000000000000002,34
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=0-run-010,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=0,1114,19152,1,1,823.8541666666666,0,0,82.16666666666667,0.24400010751078735,0.6848343330031844,2.45,49
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=6-run-010,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=6,1214,18029,0.9767441860465116,1,806.6976744186046,0,0.023255813953488372,67.72093023255815,0.2379881677677056,0.7220115253865473,2.15,43
Proposal Pipeline Effects-proposal_temp_check_fraction=0_5_proposal_fast_track_min_steps=12-run-010,proposal_temp_check_fraction=0.5_proposal_fast_track_min_steps=12,1314,18328,1,1,1055.65625,0,0,71.78125,0.22135816385209933,0.5659471846815725,1.6500000000000001,33
